,width,height,aspect
count,1500.0,1500.0,1500.0
mean,446.6206666666667,311.2273333333333,1.449575563998946
std,353.0932530316128,242.03422904948096,0.2675018805367653
min,112.0,80.0,0.56
25%,259.0,186.0,1.3350515463917525
50%,276.0,194.0,1.3402061855670102
75%,580.0,360.25,1.5075376884422111
max,4320.0,2432.0,3.3934426229508197
