model,accuracy,precision_macro,recall_macro,f1_macro
resnet18,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
vit,0.9347826086956522,0.9356060606060606,0.9347826086956521,0.9347517730496454
cnn,0.75,0.7501182033096927,0.75,0.749970459647879
