class,precision,recall,f1,mAP50,mAP50_95
dent,0.6954429551556713,0.5449101796407185,0.61104202503742,0.5227273292900411,0.28101235145170433
scratch,0.6352466252402723,0.5502245038925314,0.5896866665625518,0.4992832574422734,0.256729451154086
crack,0.6080589880867069,0.4406779661016949,0.5110112637296598,0.3706701211267292,0.1415582406409286
glass shatter,0.9892993608473327,0.9777777777777777,0.9835048271491641,0.975,0.9203195565928597
lamp broken,0.85543971380419,0.851063829787234,0.8532461613881035,0.8134493873892102,0.7085588571393346
tire flat,0.9246684887776516,0.8870967741935484,0.9054930573598453,0.8996946101729193,0.8749897047174535
